"","PTTAX","VTSMX","AGTHX","VFINX","VBMFX"
"301",0.000886155684715882,-0.0128087378992301,0.00393614863970236,0.00350738115355193,0.0164787331107219
"302",0.00486970673359478,-0.00665621990546945,0.0118571898670394,0.0092017905457906,0.0202539635319616
"303",0.00586569695340327,0.000885675524298373,0.0151789633640107,0.0158632178111427,0.0211977469277651
"304",0.00686148225803414,0.00584742860598847,0.0195228356686929,0.020355608687423,0.0230854105573977
"305",0.00686148225803414,0.00664133256280543,0.0205448528282499,0.02132749338889,0.0211977469277651
"306",0.00586569695340327,0.00604585908361532,0.0218225103579529,0.020571554926499,0.0202539635319616
"307",0.00785747247784263,-0.00209140868850398,0.0128792886747506,0.0140920941891386,0.0240291939532012
"308",0.00785747247784263,-0.00209140868850398,0.0139013874824616,0.0137141662489077,0.0230854105573977
"309",0.00785747247784263,-0.00149595543668156,0.0136458015444183,0.0142540758902933,0.0230854105573977
"310",0.0128370137465298,0.00941990538851014,0.0243776893371022,0.0233793515260626,0.0278044243744408
"311",0.0118410235267213,0.0133893240357563,0.0292325157894601,0.027914965784022,0.0268606409786373
"312",0.0160329733110277,0.0123969086918416,0.0282104986299031,0.0258631902287784,0.0308325494295174
"313",0.0170310126826102,0.0183510771174464,0.0343429281798615,0.032342645460677,0.0317783664238549
"314",0.0170310126826102,0.0145800889478269,0.0307656776090524,0.0292108909642657,0.0317783664238549
"315",0.0180290520541928,0.00445815230682004,0.0218225103579529,0.0187896901482527,0.0346154300547658
"316",0.0170310126826102,0.0155724436096384,0.0371536658810028,0.0298588122634232,0.032724086580167
"317",0.0190271938833639,0.00326730648527845,0.0246331664109401,0.0175478120878593,0.0355612470491033
"318",0.0190271938833639,0.00644282117570765,0.0289770387156223,0.0204095732253443,0.0346154300547658
"319",0.0190271938833639,0.00366424835000308,0.0261663010144811,0.0176018592077098,0.0346154300547658
"320",0.0170310126826102,0.0131908126486585,0.0376647016768327,0.0274829907239408,0.032724086580167
"321",0.0180290520541928,0.0250990685903973,0.0504406782207333,0.0379041915399538,0.033669806736479
"322",0.0160329733110277,0.0249005572032993,0.0509517412326144,0.0382281549422634,0.0317783664238549
"323",0.0190271938833639,0.0245036153385749,0.0483964806053111,0.037202223120946,0.0346154300547658
"324",0.0190271938833639,0.0310531763338989,0.0555510906111345,0.0440057243370833,0.033669806736479
"325",0.0190271938833639,0.0342286910243281,0.0540179287915422,0.0471914488768778,0.033669806736479
"326",0.0170310126826102,0.035022594981145,0.0575952065784027,0.0480553989970403,0.0308325494295174
"327",0.0160329733110277,0.0296638798073626,0.0563176034808024,0.0426017874990681,0.0298869261112307
"328",0.0150349339394452,0.0314501181986235,0.0545289918034235,0.0426558346189184,0.0289412059549188
"329",0.014036792110274,0.0288699758505456,0.0509517412326144,0.0407659526774386,0.0289412059549188
"330",0.0130387527386915,0.0318470600633481,0.0540179287915422,0.0427097991568396,0.0270497656422947
"331",0.0170310126826102,0.0340301796372303,0.0555510906111345,0.0444916694405478,0.0298869261112307
"332",0.0180290520541928,0.024305184860948,0.0448192300345021,0.0349344132392355,0.032724086580167
"333",0.0201293301650715,0.0187480392095387,0.0453302658303319,0.0296968305622683,0.0347139143266241
"334",0.0181291531183583,0.026885306981658,0.0545289918034235,0.0377422098387989,0.0328187941690338
"335",0.0201293301650715,0.0167632894311802,0.0402198534399306,0.0287789159041845,0.0356614744054194
"336",0.0211295211460168,0.0106106703005806,0.0322988122125935,0.0228934119280601,0.0366089376461891
"337",0.0221296096693736,0.0100152979582293,0.0322988122125935,0.0228393648082097,0.0385040578037794
"338",0.0201293301650715,0.0135877545133831,0.0340874511060236,0.0262411126635474,0.0366089376461891
"339",0.0211295211460168,0.0145800889478269,0.0345984869018535,0.0269970511259382,0.0375564977249842
"340",0.0221296096693736,0.026885306981658,0.0494185794130221,0.0398480380193548,0.0375564977249842
"341",0.0231296981927301,0.0173586617735315,0.0409864751738037,0.0304527690246591,0.0385040578037794
"342",0.0221296096693736,0.0165648387261855,0.0391977546322196,0.0303448344433547,0.0375564977249842
