std,mean,ETFname,log_mean,log_std,sharpe ratio
1.416932401,0.039506237,FEMS,0.029465188,1.418581021,0.37780434
1.515181911,-0.007537224,FENY,-0.018984741,1.51404235,-0.140786756
1.190630936,0.029436875,FEP,0.022240049,1.205777926,0.361709818
1.124095314,0.0071662,FEU,0.000792175,1.133202535,0.087414552
1.273088899,0.0381389,FEUZ,0.02996325,1.282769415,0.442942233
0.896384589,0.027592186,FEX,0.023572621,0.897404621,0.518447056
1.29615658,0.013933191,FEZ,0.005429006,1.310151718,0.163664357
0.9555893,0.017350487,FFR,0.012777619,0.957821545,0.212283495
1.04873221,0.014490018,FGD,0.008961007,1.054380435,0.214281467
1.219849235,0.026496675,FGM,0.019017972,1.22601789,0.308689596
1.223668168,0.015835459,FHK,0.008344782,1.225763709,0.110939399
1.037771693,0.024326345,FHLC,0.018939733,1.039109431,0.304124478
0.755744065,0.032712043,FSTA,0.029853709,0.756319367,0.67258865
0.980784471,0.039727783,FSZ,0.034894541,0.98472574,0.618045085
1.007123947,0.030092293,FTA,0.025018715,1.008255019,0.516122755
1.907144345,-0.101215289,FTAG,-0.119485002,1.911591807,-1.127646094
0.878379916,0.024976802,FTC,0.021116163,0.879618266,0.442613004
0.787305586,0.03125379,FTCS,0.028152623,0.787907236,0.663395154
1.026512715,0.052321617,FTEC,0.047041628,1.027817719,0.848423598
0.715024452,-0.040782275,FTGC,-0.043345759,0.715580917,-1.02608766
1.039659891,0.027875688,FTHI,0.02243715,1.04567155,0.352780826
0.978075743,0.02148602,FTLB,0.016730426,0.974936922,0.266278269
0.733916948,0.022920949,FTLS,0.020230933,0.733803715,0.483355491
1.994350304,-0.058649524,FTRI,-0.078555029,1.996655191,-0.640570747
2.643183852,0.072037005,FTSD,0.039041553,2.551048715,0.250280622
0.146313736,0.013911378,FTSL,0.013803526,0.146357445,1.588250278
0.114011537,0.003203998,FTSM,0.003139142,0.113916688,0.443894691
1.467560906,0.013735573,FTW,0.002982391,1.468039536,0.029321916
0.982326917,0.033700319,FUTY,0.028860177,0.985271024,0.535057411
